city,hour,pm25,pm10,temp,humidity,wind
Delhi,0,86.4,92.9,30.3,86.0,1.8
Delhi,1,89.6,95.9,29.9,89.0,1.5
Delhi,2,91.0,97.8,29.7,90.0,2.2
Delhi,3,92.2,98.7,29.6,89.0,2.1
Delhi,4,90.8,96.9,29.4,89.0,2.1
Delhi,5,82.7,86.6,29.3,90.0,2.2
Delhi,6,84.1,87.8,29.3,90.0,1.6
Delhi,7,79.2,84.8,30.2,85.0,1.1
Delhi,8,65.2,73.6,31.6,75.0,1.0
Delhi,9,55.9,72.2,32.6,69.0,1.3
Delhi,10,50.3,66.4,33.4,65.0,2.0
Delhi,11,46.3,59.8,34.5,52.0,2.4
Delhi,12,47.5,60.3,35.3,50.0,3.0
Delhi,13,48.8,61.2,35.7,50.0,4.1
Delhi,14,50.6,62.6,35.4,52.0,5.2
Delhi,15,49.8,63.8,33.6,56.0,4.3
Delhi,16,47.7,63.3,34.0,56.0,3.8
Delhi,17,50.2,81.3,33.4,58.0,0.9
Delhi,18,58.7,87.3,32.6,65.0,2.4
Delhi,19,66.6,96.2,31.8,71.0,4.2
Delhi,20,68.7,87.5,30.8,79.0,8.9
Delhi,21,66.6,96.4,29.7,84.0,9.0
Delhi,22,64.5,120.1,29.3,84.0,10.8
Delhi,23,61.2,135.0,30.3,85.0,10.3
Delhi,0,56.5,116.9,28.6,89.0,12.2
Delhi,1,51.6,90.1,26.9,95.0,8.5
Delhi,2,49.8,75.7,26.7,95.0,10.6
Delhi,3,49.4,68.0,26.0,96.0,7.7
Delhi,4,48.4,62.2,25.9,97.0,8.9
Delhi,5,55.8,113.6,28.8,92.0,7.5
Delhi,6,54.0,101.7,28.6,93.0,7.8
Delhi,7,48.4,83.4,28.9,90.0,7.4
Delhi,8,44.6,78.2,27.9,88.0,13.1
Delhi,9,47.5,100.4,27.6,91.0,8.6
Delhi,10,48.9,108.7,27.2,93.0,8.9
Delhi,11,44.1,90.3,27.3,93.0,7.7
Delhi,12,42.0,76.6,27.1,94.0,9.0
Delhi,13,43.3,70.3,26.9,93.0,7.0
Delhi,14,43.4,64.5,27.4,90.0,3.9
Delhi,15,43.5,61.0,27.9,85.0,4.9
Delhi,16,44.0,59.0,27.7,86.0,3.6
Delhi,17,34.7,47.7,30.5,74.0,2.8
Delhi,18,32.4,42.3,29.9,77.0,3.4
Delhi,19,39.8,46.7,29.0,83.0,3.2
Delhi,20,47.6,54.5,28.5,85.0,4.2
Delhi,21,52.7,59.5,28.3,87.0,4.5
Delhi,22,51.3,56.8,28.0,89.0,4.6
Delhi,23,47.4,51.5,27.6,90.0,1.9
Delhi,0,43.8,47.1,27.4,92.0,1.5
Delhi,1,42.1,45.4,26.9,96.0,5.2
Delhi,2,44.8,47.8,26.7,97.0,4.7
Delhi,3,47.8,51.2,26.6,97.0,3.0
Delhi,4,46.6,49.8,26.6,98.0,1.5
Delhi,5,47.8,51.3,27.0,96.0,1.6
Delhi,6,51.1,53.7,26.3,98.0,1.4
Delhi,7,43.9,47.3,26.5,99.0,3.0
Delhi,8,38.2,42.3,27.0,95.0,1.5
Delhi,9,35.5,39.8,28.3,85.0,2.3
Delhi,10,32.0,36.8,28.9,82.0,3.5
Delhi,11,31.5,36.6,30.5,76.0,2.4
Delhi,12,34.0,39.3,31.9,71.0,2.3
Delhi,13,36.8,43.1,32.3,69.0,4.3
Delhi,14,39.8,46.4,32.6,68.0,5.6
Delhi,15,43.5,52.4,32.1,70.0,2.7
Delhi,16,45.9,53.6,31.1,78.0,5.7
Delhi,17,59.6,70.3,33.0,64.0,3.5
Delhi,18,68.0,75.9,32.2,69.0,3.9
Delhi,19,80.1,85.2,31.1,78.0,3.9
Delhi,20,75.4,79.6,30.5,82.0,5.3
